Dialogue_ID,Utterance_ID,Response
20,9,I'm so glad you feel that way!
20,10,"Oh, wow, that must have felt like a big step."
20,11,"Oh, wow, I can see how that would."
20,12,"It really does, doesn't it?"
20,13,That's wonderful!
20,14,"That’s a lot to think about, isn’t it?"
20,15,I would never!
20,16,"I’m so happy for you, really!"
21,0,It sounds like you're really impressed.
21,1,It sounds frustrating to feel that way.
21,2,It must be frustrating to feel that way.
21,3,Hi.
21,4,"I'm sorry, I didn't mean to worry you."
21,5,"I'm just feeling a little bit envious, I guess."
21,6,I'm sorry to hear that; sleep deprivation is the worst.
21,7,I just can't seem to switch my brain off.
21,8,"Oh, wow, that sounds incredibly frustrating."
21,9,That sounds really frustrating.
21,10,That sounds incredibly frustrating.
21,11,That sounds really frustrating.
21,12,That's very kind of you to offer.
21,13,You're welcome.
22,0,"Oh no, that sounds awful!"
22,1,"Oh, wow. Okay."
22,2,"Oh honey, are you okay?"
22,3,I'm so scared right now.
23,0,I know this is terrifying.
23,1,I’m just worried about you.
23,2,I'm just so tired of being scared.
23,3,I can see why you'd feel that way.
23,4,I can see how that would be difficult to figure out.
23,5,I don't know!
23,6,"Oh, so you don't know?"
23,7,"Oh, so you're saying you don't know?"
23,8,"I know, it's all a bit much, isn't it?"
24,0,"I'm sorry, I can see how that would be frustrating."
24,1,"I'm sorry, I know it must feel like I'm not interested in what you like."
24,2,I'm sorry you feel left out.
24,3,"I just feel a little left out, I guess."
24,4,"Yes, really."
24,5,That's really sweet of you to say.
24,6,"Oh, honey, I would never think that."
24,7,I just feel like you wouldn't want to.
24,8,"Aww, it's okay, we'll figure it out together."
25,0,"Yeah, it really was."
25,1,"I'm so glad you feel that way, I'm still buzzing!"
25,2,"Okay, go, have fun!"
25,3,"Yeah, thanks, I'm gonna need it!"
25,4,"It's alright, you'll do great!"
25,5,Maybe just one more time?
25,6,"Oh, I understand."
25,7,I understand.
25,8,"It's alright, I understand."
25,9,"Thanks, man."
25,10,"Wow, really? That's… that's something."
25,11,"Wow, that's great!"
25,12,"Wow, that’s… really thoughtful of you."
25,13,"Oh, okay, I understand."
26,0,"I understand, it's completely normal to feel that way."
26,1,"I understand, it's tough when you're in the same boat."
26,2,"That sounds promising, but I understand why you're still anxious."
26,3,"I know, it's a lot to process."
26,4,That sounds incredibly tense.
26,5,I can't believe it!
26,6,That's amazing! I'm so happy for you!
26,7,I can't believe this is happening!
26,8,"Oh no, what happened?"
26,9,"Oh, that's a real gut punch."
26,10,I can see how that would be disappointing.
26,11,I can only imagine how frustrating that must feel.
26,12,I can definitely understand why you'd feel that way.
26,13,"I understand, it's a lot to process."
27,0,That sounds like a lot to juggle!
27,1,"Oh, that's so sweet of you!"
28,0,I understand.
28,1,I'm desperate.
28,2,That sounds like a lot to process.
28,3,I'm so sorry you feel this way.
28,4,I'm sorry you're feeling this way.
28,5,You're welcome.
28,6,"No, I'm just… overwhelmed."
28,7,"Oh, honey."
29,0,I can understand why you're curious about what happens next.
29,1,"Oh, that's exciting!"
29,2,I'm so excited that you picked up on that!
29,3,"Oh, that must be so exciting!"
29,4,You sound really surprised.
29,6,"Oh, right, I forgot."
29,7,"I'm sorry, I got carried away."
29,8,"I'm sorry, I didn't mean to upset you."
29,9,"I'm sorry, I didn't mean to upset you."
29,10,I can see why you're worried.
29,11,That sounds really painful to imagine.
29,12,That sounds like a really tough outcome to imagine.
29,13,"I'm sorry, that sounds really tough."
30,0,"It's a pleasure to meet you, Mr. Stevens."
30,1,He’s been looking forward to this.
30,2,"Oh, I understand."
30,3,I'm sure you're a bit nervous meeting me.
30,4,"I’m sorry, I’m not sure I understand."
30,5,I just want to know what you're doing with my daughter.
30,6,I… I don’t know what to say to that.
30,7,"I'm sorry, I didn't mean to offend you."
30,8,I can see why you'd be upset.
30,9,I just want what’s best for my daughter.
30,10,I'm sorry.
30,11,I just don't understand why you're with my daughter.
30,12,I understand this must be difficult.
30,13,I just want what's best for my daughter.
30,14,"Wow, that's a lot of pressure."
30,15,Alright.
31,0,That must be disappointing.
31,1,"I’m sorry, that’s disappointing."
31,2,"That would be really nice, thank you."
31,3,I can see how that would be a letdown.
32,0,"Oh no, are you alright?"
32,1,That must have been quite a relief.
32,2,"Yeah, I think so."
32,3,"Oh, honey."
32,4,"I'm sorry, that sounds really uncomfortable."
32,5,"Oh, wow."
32,6,I can see why that would be distracting.
32,7,Wow.
32,8,Of course.
32,9,I have no idea.
32,10,That sounds like a really tough situation.
32,11,"I know, it's terrifying."
32,12,I can see why you feel so strongly about this.
32,13,"I know, it's a lot to process."
32,14,That's a lot to process.
32,15,"I know, it's a tough situation."
32,16,It sounds like you're really feeling this strongly.
32,17,It's a tough spot to be in.
32,18,I'm so sorry; that's a tough spot to be in.
33,0,"Yes, a thousand times yes!"
33,1,"Oh, wow, that's so sweet of you!"
33,2,"Oh wow, is this really happening?"
33,3,I'm so nervous for you!
33,4,"Oh, wow, that's a big reaction."
33,5,"I understand, you want this moment to be perfect."
33,6,"Okay, we're going. Good luck!"
33,7,"Oh, that's exciting, I bet you're feeling a lot of things right now."
33,8,"Oh, wow, thank you."
33,9,I can't believe you're saying that!
33,10,It sounds like you're feeling a little nervous.
34,0,"Yeah, I'm here."
34,1,"Alright, take your time, no rush."
34,2,"It's okay, I understand."
34,3,It really is!
34,4,"Oh, wow, I can hear that you're upset."
34,5,"I know, it's rough when things get awkward."
34,6,"Oh, wow, that must feel really vulnerable."
34,7,"Oh, wow, I can see how that would be mortifying."
34,8,"Oh, wow, that must be a lot to take in."
34,9,I do?
34,10,It sounds like you're feeling pretty defensive right now.
34,11,"I mean, I can see how you might feel that way."
34,12,You really think so?
34,13,"Oh, honey."
35,0,"I know, it's so frustrating."
35,1,That's fantastic!
35,2,That's amazing!
35,3,That must feel amazing!
35,4,You're very welcome.
35,5,I’m so proud of myself.
36,0,"I know, it's hard when things don't go as planned."
36,1,I know it's tough.
36,2,"I know, and I feel lucky to have you."
36,3,It means a lot to hear that.
36,4,"Oh, come on, don't be so hard on yourself."
36,5,It's okay to feel that way.
37,0,That sounds overwhelming.
37,1,"Wonderful, I'm glad you're excited!"
37,2,"Bologna? Oh, wow..."
37,3,"Oh, wow, that must be unexpected."
38,0,I know this must be incredibly painful.
38,1,I feel so betrayed right now.
38,2,I'm so sorry you feel that way.
38,3,I'm so hurt right now.
38,4,"I'm so sorry, that wasn't right of me."
38,5,I can’t believe you did that.
38,6,It sounds like you're really upset about being overcharged.
38,7,"I know, it's frustrating when you feel like you're being taken advantage of."
38,8,"I’m so sorry, I didn’t mean to ruin it."
38,9,"I'm so sorry, I didn't know it was yours."
38,10,What's wrong?
38,11,What's going on?
39,0,I know it's hard when you feel like you're supposed to be something you're not.
39,1,I don't know anymore.
39,2,"What do you mean, “Huh?”"
39,3,I just feel so lost.
39,4,I understand.
39,5,"I’m sorry, I just don’t know what to do."
39,6,I can see that you feel completely unheard.
39,7,"It’s not nice, is it?"
39,8,"Okay, ask away."
39,9,"Are you feeling stuck, too?"
39,10,That's a really good question.
39,11,"It's hard to see past the surface sometimes, isn't it?"
39,12,"It's more than just that, isn't it?"
39,13,It sounds like you're feeling frustrated with your character's motivation.
39,14,I'm listening.
39,15,It's frustrating when you feel like there's a missing piece.
39,16,"Ouch, that stings."
39,17,"Okay, well, maybe you feel that way."
39,18,That must be frustrating.
40,0,"It's okay, take your time."
40,1,I understand that must feel really frustrating right now.
40,2,Who?
40,3,"Yeah, they do."
40,4,I'm right here with you.
40,5,I'm glad we're on the same page.
40,6,That sounds like fun!
40,7,I’m so glad you’re feeling better.
40,8,"Oh, that's too bad; I was really craving a pastrami on rye."
40,9,"I know, I hate when that happens."
40,10,"Oh, wow."
40,11,"Oh, no, not again!"
40,12,Sounds like you’re really excited!
40,13,"I know, it's frustrating when you're trying to get through."
40,14,"It's okay, we'll figure something else out."
41,0,"Okay, I understand."
41,1,"Oh, honey, I'm so sorry, I thought I was talking to my mom."
41,2,"Oh, honey, I am so sorry."
41,3,"I'm so sorry, that must be incredibly difficult."
41,4,"Oh wow, that must be a really tough memory."
41,5,"I know, it's a lot to take in."
41,6,"Oh, wow."
41,7,"Oh, honey."
41,8,I understand.
41,9,I think I know how you feel.
41,10,"It's alright, you don't have to answer."
41,11,"Oh, I'm sorry, I didn't realize."
41,12,"I know, I know."
41,13,"Oh, Joe."
41,14,I wish it were that simple.
41,15,"I'm so sorry, Joe."
42,0,"Okay, I'm trying to believe you."
42,1,I understand.
43,0,"It was awful, honestly."
43,1,"Ouch, that sounds painful!"
43,2,"Oh, wow, what did he bring?"
43,3,That sounds frustrating.
43,4,"Oh, come on, don't do that!"
43,5,"Yeah, I'm just... a little overwhelmed right now."
43,6,You seem a little down.
44,0,"Oh, wow, that must have been a lot to take in."
44,1,I can't believe you'd even bring that up.
44,2,That must have been really hurtful to hear.
45,0,I appreciate you saying that.
45,1,I feel bad that I hurt your feelings.
45,2,I just feel so embarrassed about it.
45,3,"Hey, I'm really sorry, I didn't mean to hurt your feelings."
45,4,I can see how that would feel strange.
46,0,That's fantastic news!
46,1,I'm so happy for you!
46,2,"Oh, wow, that must feel like such a relief!"
46,3,You must be so happy!
46,4,"Oh, you're frustrated; I get that."
46,5,I can feel your excitement!
46,6,You sound so excited!
46,7,That must feel amazing!
46,8,That's amazing!
46,9,I'm so happy for you both!
46,10,Because we’re playing for keeps!
46,11,"I know, it's frustrating when you don't know why."
46,12,I can't believe it!
46,13,It must feel amazing to have won it back!
46,14,"Oh, wow."
47,0,"Oh no, that's a real problem, isn't it?"
47,1,I'm sure it will be.
47,2,I can see you're feeling confident.
47,3,"I'm just saying, we should have been prepared."
47,4,I can understand wanting to show that side of yourself.
47,5,"Oh, I see, you're feeling the pressure too."
47,6,I can see why you'd be hopeful.
47,7,I see what you're doing.
47,8,I'm so nervous about this.
47,9,"Okay, I get it, you're really excited."
47,11,"I just want you to be happy, you know?"
47,12,You seem really excited.
47,13,"It's all right, I understand."
47,14,I can't believe you would even ask.
47,15,"I know, it's intoxicating, isn't it?"
47,16,"You're really enjoying this, aren't you?"
47,17,We really are.
48,0,Bye.
49,0,I'm sorry to hear that.
49,1,That sounds frustrating.
49,2,"Oh yeah, I can imagine that must have been awkward."
49,3,I guess I'll try to keep my head down then.
49,4,It sounds like you're feeling a bit lost and unsure of what to do.
49,5,"I'm here for you, whatever you decide."
49,6,It sounds like you're really torn.
49,7,"That's a tough question, isn't it?"
49,8,"It's a tough choice, isn't it?"
49,9,I'm just saying...
49,10,"It sounds like you're really struggling with this, Ross."
49,11,"It went well, but a little bit complicated."
49,12,"Oh, Ross, I'm so sorry."
49,13,I know that must have been difficult.
49,14,"Oh, wow, that's great!"
49,15,"I'm so happy for you, Ross!"
49,16,"Dana, of course!"
49,17,"Oh, wow, that's... unexpected."
49,18,Wasn’t she what?
49,19,"Right, right, of course."
49,20,"I know, I know, I’m just excited for you, man."
49,21,"Yeah, whatever."
50,0,"Morning! I'm doing well, just working on some projects."
50,1,"Whoa, easy there."
50,2,"I'm sorry, I just don't want him to be bothered."
50,3,What's up?
50,4,I'm just... feeling a bit off today.
50,5,That must be really stressful to hear.
50,6,That sounds incredibly stressful and frightening.
50,7,I know this must feel incredibly unsettling.
50,8,I can't believe they'd do this to you.
50,9,I know how much you care.
50,10,It’s just... I'm really scared.
50,11,"Hey, I get it."
50,12,"I'm just really scared, you know?"
50,13,"Hey, hey, I get it."
50,14,I know how much this hurts.
50,15,I can see you're really upset.
50,16,"I'm not doing so well, actually."
51,0,Hey.
51,1,I understand.
51,2,I appreciate you saying that.
51,3,I'm really sorry you feel that way.
51,4,"I just feel really hurt, you know?"
51,5,I guess I still have some things to learn.
51,6,"I'm sorry, that sounds really frustrating."
51,7,I know you've been really busy.
51,8,"I know, it's been a lot."
51,9,"I just want to feel like a priority, that's all."
51,10,I'm just trying to do what's best for us.
52,0,"It's hard, isn't it?"
52,1,I'm all ears.
52,2,I'm really nervous to say it.
52,3,"Oh, that must be frustrating."
52,4,I guess so.
52,5,That sounds really difficult.
52,6,"Oh, wow, you must really want to tell me!"
52,7,"Oh, it must be so hard to keep a secret like that."
52,8,No.
52,9,"Oh, you must be bursting to say something."
52,10,"You really want to know, huh?"
52,11,"Alright, alright, I'll bite, what's up?"
53,0,Hi there!
53,1,Hi there!
53,2,"Oh, no?"
53,3,I understand; it can be frustrating.
53,4,It sounds like you're really frustrated right now.
53,5,I'm feeling really down.
53,6,It was great seeing you too.
53,7,"No, I didn't."
53,8,That must have taken a lot of courage to say.
54,0,I appreciate you saying that.
54,1,I'm just worried about her.
54,2,It sounds like you're really frustrated and struggling with this.
54,3,"I know, honey, and I'm here for you."
54,4,"I understand, it's a lot to handle."
54,5,"I know, it's a lot to handle."
54,6,I can see how that would be terrifying.
54,7,"I know this is really hard, and I wish I could."
54,8,"I know, it's terrifying when it's someone you love."
54,9,I know how much that means.
54,10,"I know, and I appreciate that."
54,11,You’re not?
54,12,I’m just so glad you’re here.
54,13,I’m just so glad you’re not scared of me.
54,14,I can't stand the thought of that either.
54,15,"I know, and I want to be there for you."
54,16,"Yes, he is."
54,17,"Oh, thank God."
54,18,"It’s okay, I’m already feeling it, too."
54,19,I’m so excited to be an uncle.
54,20,I can't wait to be a mom.
54,21,I'm so glad.
54,22,I'm really glad you're here for me.
54,23,I just want to be a good brother.
55,0,"Me too, I'm so glad we did this."
55,1,"Me too, it was such a fun evening."
55,2,"Oh, that's too bad, but I understand."
55,3,"Yeah, it's a bit awkward, I know."
55,4,"Hi Krista, it's so nice to meet you!"
55,5,"Hi Rachel, it's so nice to meet you!"
55,6,"It's okay, you look great."
55,7,"Hey, be nice!"
55,8,I'm just teasing you!
55,9,"I'm just kidding, I had a great time too."
55,10,I'm just messing with you!
55,11,"Okay, okay, I get it!"
55,12,I am!
55,13,"Okay, okay, you win!"
55,14,I'm just teasing!
55,15,You're gonna try?
55,16,I'll get you for that!
56,0,"Wow, you must be starstruck!"
56,1,"Oh, honey, I'm so sorry, I didn't realize it was you."
56,2,I can only imagine how surreal that must feel.
56,3,"Oh honey, that sounds absolutely awful."
56,4,"It's so frustrating to be stuck like this, isn't it?"
56,5,"That sounds really stressful, being stuck there with a stranger."
56,6,"This is so frustrating, I'm sorry you're stuck."
57,1,"No, I'm not."
57,2,"Okay, I understand."
57,3,"Okay, I understand."
58,0,It sounds like you have a pretty strong image of what that might be like.
58,1,"Wow, that sounds incredibly tedious."
58,2,"It can be really rewarding, helping someone find exactly what they want."
58,3,What's wrong?
58,4,"Oh, wow, that sounds really disappointing."
58,5,"I'm sorry, it's gone."
58,6,That sounds exhausting.
58,7,"Oh, wow, that sounds like a lot of pressure."
58,8,"I’m sorry, I didn’t mean to upset you."
58,9,"Oh no, you're serious?"
59,0,That's wonderful to hear!
59,1,Thanks!
59,2,Sounds like a plan!
59,3,Sounds like you're feeling good about this.
59,4,I'm so glad to hear that!
59,5,You seem really proud of yourself.
59,6,You seem really proud of everyone.
59,7,I'm so proud of you.
59,8,I love you too!
59,9,I love you too!
61,0,That must be frustrating.
61,1,I feel so silly right now.
61,2,I can see you're really upset.
61,3,I feel like you're really upset right now.
61,4,I can see you're feeling a bit vulnerable right now.
61,5,You seem really upset.
61,6,"It sounds like you really wanted one, too."
61,7,"I know, it really hurts."
61,8,I understand.
62,0,Hey! What's up?
62,1,"Not so good, Bob."
62,2,"Oh, come on, don't be like that."
62,3,Sounds like you really miss him.
62,5,What's up?
62,6,"Yeah, we do."
62,7,That's still something!
62,8,"I'm not sure, what's making you ask?"
62,9,That must be disappointing to think about.
62,10,I can see that would make you feel conflicted.
62,11,I can see why you'd be hesitant.
63,0,"Oh, that's so exciting!"
63,1,"Oh, honey, I'm so sorry you feel that way."
63,2,"Wow, that's amazing!"
63,3,"I know, right?"
63,4,"Wow, that's…incredible."
63,5,"Oh, wow, I can see how frustrating that would be."
63,6,"So, you're feeling a bit competitive about this?"
63,7,I understand; you want your wedding to feel unique.
64,0,That sounds incredibly hurtful and disrespectful.
64,1,I can see why that would be upsetting.
64,2,It sounds like that thought really bothers you.
64,3,"It's just a really uncomfortable thought, isn't it?"
64,4,That sounds incredibly frustrating.
64,5,That's a really sweet thought.
64,6,"I know, but…"
64,7,That actually sounds pretty cool!
64,8,"Oh, wow, you're actually excited!"
64,9,"I'm sorry, it sounds like you're really disappointed."
64,10,"I get it, it's a big decision!"
64,11,"I know, it's frustrating when you have an idea and it gets dismissed."
64,12,"Oh, honey."
65,0,That's... really kind of you to say.
65,1,"Yes, really."
65,2,That's... incredible to hear.
65,3,It's nice to feel appreciated.
66,1,It's okay to feel lost when something good doesn't feel that way.
66,2,"Oh, that sounds incredibly stressful."
66,3,"I know, it sounds silly, but it felt like the end of the world."
66,4,"Oh, honey, that sounds awful."
66,5,"I know, it's just one thing after another, isn't it?"
66,6,It sounds like you're feeling really stressed about this.
66,7,I just feel like a prisoner of my own things sometimes.
66,8,"I’m sorry, I didn’t realize it was so hard."
66,9,"I know, it's hard when things feel like they're falling apart."
66,10,I just don’t know what to say.
66,11,"Oh, sweetheart."
66,12,"I am, I am."
67,0,I can see why you'd be shocked.
67,1,I can't believe this is happening.
67,2,You're very welcome.
67,3,I'm so happy to hear that.
67,5,I'm happy to hear that.
67,6,I can't imagine how scary that must have been.
67,7,I'm so relieved I could do something.
67,8,I'm so happy I could help!
67,9,I'm just happy to be there for you.
67,10,That's a great idea!
67,11,"I just want you to know, I'm really touched."
67,12,"I know you’re going to tell her, Ross."
67,13,I promise.
67,14,"Oh, no!"
67,15,That sounds awful.
68,0,I can see you're really frustrated right now.
68,1,"You're welcome, I'm sure you'll do great."
68,2,I understand you're feeling nervous.
68,3,"Yes, you."
69,0,I'm so glad you think so.
69,1,"Sure, that sounds lovely."
69,2,"Okay, sounds good."
69,3,"Yeah, it's been a long day."
69,4,"Oh, I'm sorry to hear that."
69,5,I'm sure it was.
69,6,"I'm sorry, I didn't mean to make it worse."
70,0,I'm glad you think so.
70,1,"I'm sorry, I didn't mean to sound so dismissive."
70,2,"Oh, wow."
70,3,"Oh, I can see how that might be disappointing."
70,4,Oh.
70,5,I can see you're really attached to that canoe.
70,6,"You really don't want the canoe, do you?"
70,7,"Oh, I'm so sorry."
70,8,I can see you're really proud of it.
71,0,Hey.
71,1,I'm just feeling really lost right now.
72,0,"Oh wow, that's a lot to take in right now."
72,1,"Yes, one."
72,2,"I understand, you're trying to get something that isn't quite real."
72,3,I know this must be confusing.
72,4,That sounds like a really tough situation.
72,5,"I am, yes."
72,6,I see.
72,7,"I understand, it must be difficult."
73,0,"I understand, it's hard to set boundaries."
73,1,I understand this is frustrating.
73,2,It sounds like you're really trying to lighten the mood.
73,3,"Hey, what's wrong?"
73,4,"I'm feeling a little lost, too."
73,5,She's really struggling.
73,6,"I'm sorry, I didn't realize that was a touchy subject."
73,7,I don't know.
73,8,"Oh, that must have been disappointing."
73,9,Have a good time.
73,10,"Oh, right, sorry, I didn't mean to be so dismissive."
73,11,You don't sound like you're in a very good mood.
74,0,"Okay, I can do that."
74,1,It sounds like you're worried about hurting Jason's feelings.
74,2,It's tough when you know someone's feelings might get hurt.
74,3,It sounds like you're feeling conflicted.
74,4,I know it's tough to feel like you're choosing between people's feelings.
74,5,"I'm sorry, I didn't mean it that way."
74,6,You're really standing up for Jason.
75,0,Hi there.
76,0,"Yeah, it sounds like it's pretty widespread."
76,1,"Oh, that must feel validating."
76,2,It sounds like something unpleasant happened.
76,3,It sounds like you're feeling a bit resigned about it all.
76,4,It sounds like you're feeling pretty conflicted about it.
76,5,It sounds like you really enjoyed yourself.
76,6,"Yeah, it really was."
76,7,I do.
77,0,"Not yet, but I'm sure we'll find the perfect one."
77,1,I understand how frustrating that can be.
77,2,"That’s a sweet name, I like it."
77,3,That sounds like a lovely name.
77,4,"Hello, little one."
78,0,I feel trapped.
78,1,"Oh, you're feeling trapped?"
78,2,I know it's scary.
78,3,He's trying to protect you.
78,4,"I know, it’s scary!"
78,5,I can't believe he's doing that!
79,0,"Okay, if you're sure."
79,1,"I know, it's frustrating when that happens."
79,2,"I know, I just hate to mess things up."
79,3,"Yeah, really."
79,4,"Oh, you're trying to make me feel better."
79,5,"It's a lot to adjust to, isn't it?"
79,6,"It's a lot to adjust to, isn't it?"
79,7,I understand.
80,0,"Wow, that must be tough to think about."
80,1,"Of course, Joey, anytime."
80,2,"He is pretty dreamy, isn't he?"
80,3,Hot!
80,4,It must be exciting to see him in person.
80,5,"Oh, honey, you poor thing!"
81,0,"I promise, your secret is safe with me."
81,1,About... everything.
81,2,"Oh wow, that's so sweet of him."
